APM L1,Measure Names,Opportunity Stage 2 Date - Fiscal Quarter,Measure Values
,Current FY MDP,Q1,"124,755.413358202"
,% YoY,Q1,-0.740331301
,CFY MDP Contribution,Q1,0.241409140
,Previous FY MDP Contribution,Q1,0.451222638
,MDP Contr. Diff vs FY-1 (ppts),Q1,-20.981349773
AI and Data,Current FY MDP,Q1,"653,852,796.293295"
AI and Data,% YoY,Q1,-0.230785471
AI and Data,CFY MDP Contribution,Q1,0.340474476
AI and Data,Previous FY MDP Contribution,Q1,0.360263837
AI and Data,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.978936136
Analytics,Current FY MDP,Q1,"330,741,748.852542"
Analytics,% YoY,Q1,-0.001596123
Analytics,CFY MDP Contribution,Q1,0.343857218
Analytics,Previous FY MDP Contribution,Q1,0.368414543
Analytics,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.455732488
Commerce,Current FY MDP,Q1,"106,469,475.741055"
Commerce,% YoY,Q1,-0.126022125
Commerce,CFY MDP Contribution,Q1,0.330579430
Commerce,Previous FY MDP Contribution,Q1,0.340799157
Commerce,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.021972729
Core Success Plans,Current FY MDP,Q1,"95,232,010.8464986"
Core Success Plans,% YoY,Q1,-0.051417061
Core Success Plans,CFY MDP Contribution,Q1,0.334455132
Core Success Plans,Previous FY MDP Contribution,Q1,0.360827295
Core Success Plans,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.637216281
Informatica,Current FY MDP,Q1,"195,746,875.525654"
Informatica,% YoY,Q1,
Informatica,CFY MDP Contribution,Q1,0.286603712
Informatica,Previous FY MDP Contribution,Q1,
Informatica,MDP Contr. Diff vs FY-1 (ppts),Q1,
Integration,Current FY MDP,Q1,"376,337,272.730176"
Integration,% YoY,Q1,0.105178909
Integration,CFY MDP Contribution,Q1,0.324713394
Integration,Previous FY MDP Contribution,Q1,0.345799782
Integration,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.108638780
Marketing,Current FY MDP,Q1,"517,953,139.296027"
Marketing,% YoY,Q1,0.135085352
Marketing,CFY MDP Contribution,Q1,0.328181016
Marketing,Previous FY MDP Contribution,Q1,0.345088442
Marketing,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.690742596
Other,Current FY MDP,Q1,"235,391,179.818653"
Other,% YoY,Q1,-0.186113899
Other,CFY MDP Contribution,Q1,0.422607184
Other,Previous FY MDP Contribution,Q1,0.381814625
Other,MDP Contr. Diff vs FY-1 (ppts),Q1,4.079255872
Sales,Current FY MDP,Q1,"1,114,993,017.77718"
Sales,% YoY,Q1,0.184726110
Sales,CFY MDP Contribution,Q1,0.335535146
Sales,Previous FY MDP Contribution,Q1,0.357487072
Sales,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.195192618
Salesforce Platform,Current FY MDP,Q1,"262,156,472.062619"
Salesforce Platform,% YoY,Q1,0.011667975
Salesforce Platform,CFY MDP Contribution,Q1,0.309516394
Salesforce Platform,Previous FY MDP Contribution,Q1,0.322820493
Salesforce Platform,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.330409918
Service,Current FY MDP,Q1,"1,027,542,685.43114"
Service,% YoY,Q1,0.254583693
Service,CFY MDP Contribution,Q1,0.328999029
Service,Previous FY MDP Contribution,Q1,0.346215602
Service,MDP Contr. Diff vs FY-1 (ppts),Q1,-1.721657219
Slack,Current FY MDP,Q1,"358,416,297.916791"
Slack,% YoY,Q1,0.546947773
Slack,CFY MDP Contribution,Q1,0.347864284
Slack,Previous FY MDP Contribution,Q1,0.374796011
Slack,MDP Contr. Diff vs FY-1 (ppts),Q1,-2.693172739
,Current FY MDP,Q2,
,% YoY,Q2,
,CFY MDP Contribution,Q2,
,Previous FY MDP Contribution,Q2,0.244160200
,MDP Contr. Diff vs FY-1 (ppts),Q2,
AI and Data,Current FY MDP,Q2,"246,624,850.678201"
AI and Data,% YoY,Q2,-0.180602326
AI and Data,CFY MDP Contribution,Q2,0.338873195
AI and Data,Previous FY MDP Contribution,Q2,0.347407040
AI and Data,MDP Contr. Diff vs FY-1 (ppts),Q2,-0.853384481
Analytics,Current FY MDP,Q2,"107,130,774.202991"
Analytics,% YoY,Q2,-0.075899830
Analytics,CFY MDP Contribution,Q2,0.345798476
Analytics,Previous FY MDP Contribution,Q2,0.357477939
Analytics,MDP Contr. Diff vs FY-1 (ppts),Q2,-1.167946307
Commerce,Current FY MDP,Q2,"35,095,763.0108592"
Commerce,% YoY,Q2,-0.289198054
Commerce,CFY MDP Contribution,Q2,0.315531095
Commerce,Previous FY MDP Contribution,Q2,0.324121124
Commerce,MDP Contr. Diff vs FY-1 (ppts),Q2,-0.859002849
Core Success Plans,Current FY MDP,Q2,"28,175,822.6159718"
Core Success Plans,% YoY,Q2,-0.255170474
Core Success Plans,CFY MDP Contribution,Q2,0.328873798
Core Success Plans,Previous FY MDP Contribution,Q2,0.362866152
Core Success Plans,MDP Contr. Diff vs FY-1 (ppts),Q2,-3.399235331
Informatica,Current FY MDP,Q2,"102,342,400.297174"
Informatica,% YoY,Q2,
Informatica,CFY MDP Contribution,Q2,0.274508103
Informatica,Previous FY MDP Contribution,Q2,
Informatica,MDP Contr. Diff vs FY-1 (ppts),Q2,
Integration,Current FY MDP,Q2,"122,755,925.857952"
Integration,% YoY,Q2,-0.069452511
Integration,CFY MDP Contribution,Q2,0.315013845
Integration,Previous FY MDP Contribution,Q2,0.337059998
Integration,MDP Contr. Diff vs FY-1 (ppts),Q2,-2.204615306
Marketing,Current FY MDP,Q2,"193,792,987.203214"
Marketing,% YoY,Q2,0.088582997
Marketing,CFY MDP Contribution,Q2,0.300795225
Marketing,Previous FY MDP Contribution,Q2,0.344532835
Marketing,MDP Contr. Diff vs FY-1 (ppts),Q2,-4.373760949
Other,Current FY MDP,Q2,"92,887,962.4738186"
Other,% YoY,Q2,0.213805475
Other,CFY MDP Contribution,Q2,0.331079151
Other,Previous FY MDP Contribution,Q2,0.336175920
Other,MDP Contr. Diff vs FY-1 (ppts),Q2,-0.509676898
Sales,Current FY MDP,Q2,"392,921,309.802827"
Sales,% YoY,Q2,0.141982383
Sales,CFY MDP Contribution,Q2,0.333785525
Sales,Previous FY MDP Contribution,Q2,0.354166341
Sales,MDP Contr. Diff vs FY-1 (ppts),Q2,-2.038081581
Salesforce Platform,Current FY MDP,Q2,"99,600,716.2413525"
Salesforce Platform,% YoY,Q2,-0.067436708
Salesforce Platform,CFY MDP Contribution,Q2,0.307410638
Salesforce Platform,Previous FY MDP Contribution,Q2,0.309022094
Salesforce Platform,MDP Contr. Diff vs FY-1 (ppts),Q2,-0.161145616
Service,Current FY MDP,Q2,"345,176,266.623511"
Service,% YoY,Q2,0.080477940
Service,CFY MDP Contribution,Q2,0.322436007
Service,Previous FY MDP Contribution,Q2,0.332904851
Service,MDP Contr. Diff vs FY-1 (ppts),Q2,-1.046884396
Slack,Current FY MDP,Q2,"130,164,527.568541"
Slack,% YoY,Q2,0.719275412
Slack,CFY MDP Contribution,Q2,0.338665795
Slack,Previous FY MDP Contribution,Q2,0.365119545
Slack,MDP Contr. Diff vs FY-1 (ppts),Q2,-2.645374989
,Current FY MDP,Q3,
,% YoY,Q3,
,CFY MDP Contribution,Q3,
,Previous FY MDP Contribution,Q3,
,MDP Contr. Diff vs FY-1 (ppts),Q3,
AI and Data,Current FY MDP,Q3,
AI and Data,% YoY,Q3,
AI and Data,CFY MDP Contribution,Q3,
AI and Data,Previous FY MDP Contribution,Q3,
AI and Data,MDP Contr. Diff vs FY-1 (ppts),Q3,
Analytics,Current FY MDP,Q3,
Analytics,% YoY,Q3,
Analytics,CFY MDP Contribution,Q3,
Analytics,Previous FY MDP Contribution,Q3,
Analytics,MDP Contr. Diff vs FY-1 (ppts),Q3,
Commerce,Current FY MDP,Q3,
Commerce,% YoY,Q3,
Commerce,CFY MDP Contribution,Q3,
Commerce,Previous FY MDP Contribution,Q3,
Commerce,MDP Contr. Diff vs FY-1 (ppts),Q3,
Core Success Plans,Current FY MDP,Q3,
Core Success Plans,% YoY,Q3,
Core Success Plans,CFY MDP Contribution,Q3,
Core Success Plans,Previous FY MDP Contribution,Q3,
Core Success Plans,MDP Contr. Diff vs FY-1 (ppts),Q3,
Integration,Current FY MDP,Q3,
Integration,% YoY,Q3,
Integration,CFY MDP Contribution,Q3,
Integration,Previous FY MDP Contribution,Q3,
Integration,MDP Contr. Diff vs FY-1 (ppts),Q3,
Marketing,Current FY MDP,Q3,
Marketing,% YoY,Q3,
Marketing,CFY MDP Contribution,Q3,
Marketing,Previous FY MDP Contribution,Q3,
Marketing,MDP Contr. Diff vs FY-1 (ppts),Q3,
Other,Current FY MDP,Q3,
Other,% YoY,Q3,
Other,CFY MDP Contribution,Q3,
Other,Previous FY MDP Contribution,Q3,
Other,MDP Contr. Diff vs FY-1 (ppts),Q3,
Sales,Current FY MDP,Q3,
Sales,% YoY,Q3,
Sales,CFY MDP Contribution,Q3,
Sales,Previous FY MDP Contribution,Q3,
Sales,MDP Contr. Diff vs FY-1 (ppts),Q3,
Salesforce Platform,Current FY MDP,Q3,
Salesforce Platform,% YoY,Q3,
Salesforce Platform,CFY MDP Contribution,Q3,
Salesforce Platform,Previous FY MDP Contribution,Q3,
Salesforce Platform,MDP Contr. Diff vs FY-1 (ppts),Q3,
Service,Current FY MDP,Q3,
Service,% YoY,Q3,
Service,CFY MDP Contribution,Q3,
Service,Previous FY MDP Contribution,Q3,
Service,MDP Contr. Diff vs FY-1 (ppts),Q3,
Slack,Current FY MDP,Q3,
Slack,% YoY,Q3,
Slack,CFY MDP Contribution,Q3,
Slack,Previous FY MDP Contribution,Q3,
Slack,MDP Contr. Diff vs FY-1 (ppts),Q3,
,Current FY MDP,Q4,
,% YoY,Q4,
,CFY MDP Contribution,Q4,
,Previous FY MDP Contribution,Q4,
,MDP Contr. Diff vs FY-1 (ppts),Q4,
AI and Data,Current FY MDP,Q4,
AI and Data,% YoY,Q4,
AI and Data,CFY MDP Contribution,Q4,
AI and Data,Previous FY MDP Contribution,Q4,
AI and Data,MDP Contr. Diff vs FY-1 (ppts),Q4,
Analytics,Current FY MDP,Q4,
Analytics,% YoY,Q4,
Analytics,CFY MDP Contribution,Q4,
Analytics,Previous FY MDP Contribution,Q4,
Analytics,MDP Contr. Diff vs FY-1 (ppts),Q4,
Commerce,Current FY MDP,Q4,
Commerce,% YoY,Q4,
Commerce,CFY MDP Contribution,Q4,
Commerce,Previous FY MDP Contribution,Q4,
Commerce,MDP Contr. Diff vs FY-1 (ppts),Q4,
Core Success Plans,Current FY MDP,Q4,
Core Success Plans,% YoY,Q4,
Core Success Plans,CFY MDP Contribution,Q4,
Core Success Plans,Previous FY MDP Contribution,Q4,
Core Success Plans,MDP Contr. Diff vs FY-1 (ppts),Q4,
Informatica,Current FY MDP,Q4,
Informatica,% YoY,Q4,
Informatica,CFY MDP Contribution,Q4,
Informatica,Previous FY MDP Contribution,Q4,
Informatica,MDP Contr. Diff vs FY-1 (ppts),Q4,
Integration,Current FY MDP,Q4,
Integration,% YoY,Q4,
Integration,CFY MDP Contribution,Q4,
Integration,Previous FY MDP Contribution,Q4,
Integration,MDP Contr. Diff vs FY-1 (ppts),Q4,
Marketing,Current FY MDP,Q4,
Marketing,% YoY,Q4,
Marketing,CFY MDP Contribution,Q4,
Marketing,Previous FY MDP Contribution,Q4,
Marketing,MDP Contr. Diff vs FY-1 (ppts),Q4,
Other,Current FY MDP,Q4,
Other,% YoY,Q4,
Other,CFY MDP Contribution,Q4,
Other,Previous FY MDP Contribution,Q4,
Other,MDP Contr. Diff vs FY-1 (ppts),Q4,
Sales,Current FY MDP,Q4,
Sales,% YoY,Q4,
Sales,CFY MDP Contribution,Q4,
Sales,Previous FY MDP Contribution,Q4,
Sales,MDP Contr. Diff vs FY-1 (ppts),Q4,
Salesforce Platform,Current FY MDP,Q4,
Salesforce Platform,% YoY,Q4,
Salesforce Platform,CFY MDP Contribution,Q4,
Salesforce Platform,Previous FY MDP Contribution,Q4,
Salesforce Platform,MDP Contr. Diff vs FY-1 (ppts),Q4,
Service,Current FY MDP,Q4,
Service,% YoY,Q4,
Service,CFY MDP Contribution,Q4,
Service,Previous FY MDP Contribution,Q4,
Service,MDP Contr. Diff vs FY-1 (ppts),Q4,
Slack,Current FY MDP,Q4,
Slack,% YoY,Q4,
Slack,CFY MDP Contribution,Q4,
Slack,Previous FY MDP Contribution,Q4,
Slack,MDP Contr. Diff vs FY-1 (ppts),Q4,
All,Current FY MDP,All,"7,171,627,034.28139"
All,% YoY,All,0.107099484
All,CFY MDP Contribution,All,0.330973673
All,Previous FY MDP Contribution,All,0.351161328
All,MDP Contr. Diff vs FY-1 (ppts),All,-2.018765485
